Tracking Number,Reference Number(s),Status,Manifest Date,Ship To Name,Ship To City,Ship To State/Province,Ship To Country,Service,Scheduled Delivery,Images,Alternate Address Delivery Notification Failed,Alternate Delivery Address Name,Alternate Delivery Address Phone,Alternate Delivery Address Address Line 1,Alternate Delivery Address Address Line 2,Alternate Delivery Address Address Line 3,Alternate Delivery Address City,Alternate Delivery Address State,Alternate Delivery Address Postal Code,Alternate Delivery Address Country,Alternate Tracking Number,Appointment Made,Appointment Requested Date,Appointment Requested Start Time,Appointment Requested End Time,Arrival Date,Arrival Time,Bill To Name,Bill To Account Number,Bill To Address Line 1,Bill To Address Line 2,Bill To Address Line 3,Bill To Address Line 4,Bill To Address Line 5,Bill To City,Bill To State,Bill To Postal Code,Bill To Country,Bill To Email Address,Bill To Fax Number,Bond Date,Bond Number,Booking Number,Carrier,Chargeable Weight,Chargeable Weight UOM,Charges,Class,Clinical Trials Indicator,COD Amount Collected,COD Amount Due,COD Collected Currency Type,Commercial Invoice Removal,Commodity,Container,Customer Pickup,Date Delivered,Declared Value,Delivery Location,Delivery Preference,Delivery Time,Departure Date,Departure Time,Description of Goods,Doc Indicator,Earliest Delivery Time,Exception Description,Exception Resolution,Exception Status Description,Flight/Voyage,Handling Unit,Harmonized Code,Hazardous Materials,Hold at UPS Access Point Shipments,In-bond Entry Code,Infectious Substances Category A,Insured  Value,Insured Value Currency Code,Label Delivery Method,Large Package,Liftgate on Pickup,Liftgate on Delivery,Load Type,Location Assured,Manufacture Country,Master Bill of Lading,Mode of Transportation,Number of Pieces,Number of Pieces - UOM,Original Scheduled Delivery Date,Original Scheduled Delivery Time,Package Height,Package Length,Package Width,Package Dimensional Weight,Package Reference No. 1,Package Reference No. 2,Package Reference No. 3,Package Reference No. 4,Package Reference No. 5,Package Reference No. Type 1,Package Reference No. Type 2,Package Reference No. Type 3,Package Reference No. Type 4,Package Reference No. Type 5,Package Release Code Required,Pickup By Date,Pickup Preference,Postal Service Tracking ID,Product,Product Line,Received By,Residential Address,Return Services,Return To Name,Return To Attention,Return To Address Line 1,Return To Address Line 2,Return To Address Line 3,Return To City,Return To State/Province,Return To Postal Code,Return To Country,Return To Telephone,Return To Sender Indicator,Revised Door ETA Date,Revised Door ETA Time,Saturday Delivery,Scheduled Delivery Time,Ship To Attention,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship-to Address Line 4,Ship-to Address Line 5,Ship To Postal Code,Ship-to Email Address,Ship-to Fax Number,Ship To Telephone,Shipment Activity Date,Shipment Activity Time,Shipment Charge Type,Shipment Reference No. 1,Shipment Reference No. 2,Shipment Reference No. Type 1,Shipment Reference No. Type 2,Shipment Type,Shipment Volume,Shipper Name,Ship To Location,Shipper Attention,Shipper Address Line 1,Shipper Address Line 2,Shipper Address Line 3,Shipper Address Line 4,Shipper Address Line 5,Shipper City,Shipper State/Province,Shipper Postal Code,Shipper Country,Shipper Email Address,Shipper Fax Number,Special Instructions,UPS carbon neutral,UPS Company Principal Customer Identification Number,UPS Delivery Intercept Indicator,UPS Delivery Intercept Origin,UPS Delivery Intercept Name of Requester,UPS Delivery Intercept Request Date,UPS Delivery Intercept Request Time,UPS Delivery Intercept Status,UPS Delivery Intercept Type,New Delivery Customer Name,New Delivery Attention,New Delivery Address 1,New Delivery Address 2,New Delivery Address 3,New Delivery City,New Delivery State/Province,New Delivery Postal Code,New Delivery Country,UPS Import Control Indicator,UPS Import Control Label Type,UPS Premium Care(TM),UPS Returns Flexible Access,UPS Returns ® Exchange,Vessel,Weight
1ZEW89500395057861,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Manifest,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/24/2017,6:02 PM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500395466802,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,12:00 PM,,,,,,,906603780,,,,7/26/2017,5:27 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500395554449,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Manifest,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/24/2017,6:02 PM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500396586583,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/26/2017,6:52 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500396838819,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/26/2017,6:49 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500397626635,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Manifest,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/24/2017,6:02 PM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500397726376,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/26/2017,6:54 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500399101395,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/26/2017,6:59 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500399385759,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,12:00 PM,,,,,,,906603780,,,,7/26/2017,5:26 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
1ZEW89500399684766,A/W 2017 PLAE ON THE RUNWAY|A/W 2017 PLAE ON THE RUNWAY,Out for Delivery,7/24/2017,,PICO RIVERA,CA,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,EW8950,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,600,,UPS will Deliver,,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,12,,7/26/2017,By End Of Day,12,14,14,17,A/W 2017 PLAE ON THE RUNWAY,,,,,0,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,906603780,,,,7/26/2017,6:52 AM,Prepaid,,,Reference Type,,,,,EW8950,,,,,,,HAYWARD,CA,94544-7135,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,8.00 LBS
